CSP,0,1,2,3
BlueHost,2.8038173901808805,3.551552015503878,2.798510232558139,2.9929577002583976
Carbonite,2.1735109615384616,2.5064217307692305,3.110329230769232,2.148602884615385
Dropbox,2.9092557575757567,2.9455069696969693,3.028396363636364,2.9256484848484847
FatCow,4.018099679802959,4.209029384236456,4.100330443349756,3.97677564039409
Go Daddy,4.6179033333333335,4.933106666666667,4.655003333333333,4.643913333333334
GreenGeeks,3.6571153658536586,3.9684410975609765,3.7511462195121945,3.865795853658539
HostGator,3.302024333333334,3.5680158333333334,3.5718763333333334,3.184163500000001
HostMonster,2.856456250000001,3.471236116071432,2.9024975892857157,2.791381294642857
InMotion ,4.528073692307692,4.56888046153846,4.477847762237764,4.581113188811183
JustHost,3.612198267182964,4.023795847047436,3.572412187802516,3.433329709583735
Mozy,3.1303103448275866,3.2190434482758623,3.3992737931034496,3.3073400000000004
MyPCBackup,4.522549499999999,4.728954666666667,4.713021999999999,4.507572333333334
Racpspaze ,4.93941,5.0,5.0,4.90666
SugarSync,3.822070294117647,3.5900352941176474,4.050821176470588,3.562724117647058
WebHostingPad,4.130392157996143,4.535374210019265,4.1878872543352585,4.228874971098267
Zip Cloud,4.606627407407407,4.630937407407408,4.554519629629631,4.511909444444443
backblaze,4.01022,3.94276,3.98703,3.99603
backupgenie,4.912315,4.9463275,4.729597500000001,4.483515000000001
bluehost,5.0,5.0,5.0,5.0
carbonite,3.6879625000000003,2.9747087500000005,3.64647375,3.78125
elephantdrive,4.44545,4.0092,4.481325,4.41931
iPage,3.7728679019073574,3.884403351498636,3.767158910081746,4.013519754768391
ibackup,3.3144538461538464,3.432457692307693,3.8000476923076913,3.2493130769230762
idrive,4.275776666666666,3.97293,4.948303333333333,4.290673333333333
justcloud,4.338783098591549,4.625143098591549,4.657178309859156,4.325431126760565
keepit,3.7099466666666667,3.7128533333333333,4.306766666666667,4.3141066666666665
livedrive,4.280025333333333,4.293155333333333,4.058303333333333,3.730275333333333
mozy.,4.4897116666666665,4.184683333333333,4.51762,4.074716666666666
sos-online-backup,3.9259339393939396,3.6555236363636374,3.9975084848484856,4.008195151515153
yousendit-online-backup,4.418375,3.923515,5.0,4.47506
