Cloud_Consumer_Name,Uptime,Downtime,Fault_Tolerance_Capability,Application_Update_Frequency,Cloud_Service_Name,Timestamp
e32a8001b6f88726718ecfc5628c9500b39affd8c7b0b8198db687e6d923f7a9,4,4,4,4,backblaze,15th December 2011
bab47790f2ab680be83f76bb68b7cec92b968a79db4904a2747fd5205f35db6a,5,5,5,4,backupgenie,6th March 2012
7370fd9094918eda2611a2e274ab38f96d4e8d65f0a83805bc8bd271ff9fd3c5,5,5,5,5,backupgenie,1st March 2012
658116fe1ac33179f388cc6cb7a4a3f59b656a301d6d710e1ac87f38cc1e5a7e,5,5,4,4,backupgenie,30th April 2012
8d7c3cbd40c916e95f23ed1b6aea1d53262e1081010a727854d6ed8a5a4181c1,5,5,5,5,backupgenie,30th April 2012
6c338b7db81c1029d0b8c7fbd1501112307b8e209e870b75b898553471479e65,5,5,5,5,bluehost,2012-02-29 0:00:00
6c1c059e61f1915e05131b7ba859aa596d6ef7d88bd0329184867528b908bf92,1,1,1,1,BlueHost,2012-06-02 0:00:00
23cdefe673219ebdd625e13a731b997c5d8624e9929119cc5332a2c1c267fc67,1,4,1,1,BlueHost,"May 24, 2012"
2207f2399e1ee72063e186ac7b924e23a6e4b14a23f7d5135d8d0853ea2a9c0c,5,5,5,5,BlueHost,"May 23, 2012"
1c9c7d60731df6ea705ac89cba3e68860b309641ae142e8d32c0118180586f58,1,4,1,3,BlueHost,"May 15, 2012"
7830ff44b6aa2bdf44b9f979799a5081efaa56270443e163cf90c57a24d46334,1,1,1,1,BlueHost,"May 13, 2012"
daf4d65b43a3ab2ee3b61faba4680e8318fc0a40a5b2874e3bd2d0580dd29ae1,1,1,1,1,BlueHost,"May 13, 2012"
dbd0d6da57d18d853358cbfe50171221fabafca38edb6f1bf2bda13af4687105,1,5,1,1,BlueHost,"May 05, 2012"
86a0addbbfbef8c059fff1a70b97bbb8eda10ceb9ab3a08acfe999bfb200f302,2,1,1,3,BlueHost,"April 20, 2012"
15a2ad2362a40cace5a9b9edf9071896e224281f98f96c959b656dc415099e55,5,5,5,4,BlueHost,"April 19, 2012"
bf4a037dec59ebcaa66f1a72c4a8558bedf0884304ec4ab1d03a37476a783a23,1,1,3,2,BlueHost,"April 16, 2012"
55a1a1a5ead8dddf172271b543fa2e5f515ece365268aec29cec1840289b98c1,1,1,1,1,BlueHost,"April 13, 2012"
715f46fa258ff7765050a30c09bbf47e4328deda9be0673f90bc20334830ad90,1,1,1,1,BlueHost,"April 11, 2012"
780cf00870a6be6a1830a29bec4c6c13e6248743124c5a6ead9926008de9e570,0,0,0,0,BlueHost,"April 06, 2012"
1a56dbf9ca83e9ac31ce3895a61f703bb9d1657260ad50917d14864024afd98a,2,4,1,3,BlueHost,"March 26, 2012"
2c684dc36c3d7131ff9e99b8a2ae72f086d35302d031c786e97be98110400c26,5,4,5,4,BlueHost,"March 25, 2012"
39a9f636dbd8056bc866ec5014801fa9709886df8e18c2ccdd348c88f36815cd,1,2,3,2,BlueHost,"March 23, 2012"
55a1a1a5ead8dddf172271b543fa2e5f515ece365268aec29cec1840289b98c1,1,4,1,2,BlueHost,"March 21, 2012"
942aaaee39c4836dbc1f2650fb1e35504dddcffdd66997e6f8d033a5295b2cac,2,2,2,4,BlueHost,"March 20, 2012"
28f6e4b826129f93ce4520e0ae076484ca83c0b3d6b8c81d9162078c6bc5e707,1,1,1,1,BlueHost,"March 17, 2012"
5bb08a3276d3ba29c46f4126a2a1b3c233d9593620b0f648912229651e3e2783,2,4,1,2,BlueHost,"March 15, 2012"
8e83de94bebb032f9788de38a92aa52d28a09a02dfcb12b58b6d9665db59c312,1,2,1,2,BlueHost,"March 06, 2012"
e76d6c4f6fbd6f3cf068606a836bc4897e59b58a3e5b14ba69ccd315583cf09f,1,3,2,2,BlueHost,"March 05, 2012"
38ec16577138c2f47629979c2749ba933c52477d0eb22d3b3cef1cee198c839a,1,1,1,1,BlueHost,"March 03, 2012"
9d9064e6b6989626c7cb3345d0452e85d49f91d38d4312a38b8a5ff78a2933d3,1,4,3,2,BlueHost,"February 29, 2012"
619e623eaad40c4b2817df21bc97f87414ad72841fd10e244eadc00280fe858f,1,4,1,4,BlueHost,"February 28, 2012"
063484d56128353bf9410fc9c7e0ebf8ba4c24736233dfea7497db084d536e10,1,1,1,2,BlueHost,"February 27, 2012"
ee536db3e33730d405fd7867b212d157d9ff2b94263b23ffe1ca259d8339d2f4,1,1,1,1,BlueHost,"February 26, 2012"
d3980dfea6c62bf19488ff5ce8890adc928767423f8724becd00b4ea2bccec16,5,4,5,4,BlueHost,"February 25, 2012"
debe26c0c602c2945bbe8ce8472f1e37f935654fc27fe23ba9f9941da0e984c8,1,1,1,1,BlueHost,"February 23, 2012"
36181bd791099ba84c7aa4b9e80904083b5eef2c612f7253ecf116ec3e0b289b,2,4,1,4,BlueHost,"February 22, 2012"
e8f38e1350a0e72cbe3b469a84f401510be4eba3ecf697954a54aec9d2f32980,1,0,1,0,BlueHost,"February 22, 2012"
49d03817cedae6e7681c9a72ff35e19235420929fe0a544079c050822ca3bec1,1,3,1,1,BlueHost,"February 20, 2012"
1406001358bef7c9ac9356dc111f39e2daab62f376890b856bf8415629612c58,5,3,5,3,BlueHost,"February 19, 2012"
48ca813d99902c9465e8756864e1eebbb4ba06b951ea0de507223cf4f1031e53,0,0,1,1,BlueHost,"February 17, 2012"
063484d56128353bf9410fc9c7e0ebf8ba4c24736233dfea7497db084d536e10,0,0,0,0,BlueHost,"February 15, 2012"
699229c2c09189ca9442d7393552660bd77bccf9715469ed3559e5dae768dd99,1,3,3,1,BlueHost,"February 12, 2012"
270061e0f06393498bfffb39d6df00bbf47108e6b52e42773d1420ca6bd865a4,1,2,1,1,BlueHost,"February 05, 2012"
063484d56128353bf9410fc9c7e0ebf8ba4c24736233dfea7497db084d536e10,0,0,0,0,BlueHost,"January 31, 2012"
923b58b82468df2f9de7c3c65fa6ed9a5219ce1f76b8224cfea85a40b25d5f76,0,3,1,1,BlueHost,"January 18, 2012"
257a77a16a8199eddcb0a58ccad96d55ba5d40241691c7222b58062820588ec6,1,1,1,1,BlueHost,"January 14, 2012"
93f06624a0ef679bea5299d6cc82689448120e8725aaeed3f7db2e68643b6a2b,4,4,5,5,BlueHost,"December 17, 2011"
ac0170a08459fb97eb993c66e88b8fadade7d7b38db92452ce634e95c8822b99,4,3,1,1,BlueHost,"December 01, 2011"
0c2a6e6f05f7137e2b6c39ed039dbaace7445ac9dcbbe93007894a6f72e8af95,1,5,1,3,BlueHost,"November 24, 2011"
