,0,1,2,3
0,1.57,1.09,0.0,0.31
1,5.0,5.0,0.03,4.9
2,5.0,4.9,0.93,4.93
3,1.12,1.01,0.1,1.36
4,1.24,1.21,0.49,0.82
5,4.96,5.0,0.0,0.93
6,0.81,3.54,0.41,1.13
7,3.52,3.18,0.07,1.04
8,0.99,1.43,0.39,1.56
9,4.16,2.97,0.42,0.86
10,3.36,4.82,0.54,4.33
11,3.04,1.85,0.26,2.42
12,1.35,2.34,0.29,1.1
13,0.62,1.34,0.0,0.88
14,2.96,4.2,0.39,0.98
15,0.62,3.08,0.0,0.94
16,2.89,1.58,0.2,2.44
17,1.47,0.79,0.12,1.0
18,0.97,3.21,0.35,1.32
19,1.07,3.2,0.1,0.34
20,2.07,2.2,0.0,1.99
21,1.29,3.12,0.0,1.03
22,3.07,4.05,0.0,0.76
23,4.86,3.33,0.0,0.72
24,0.93,5.0,0.0,1.55
25,5.0,4.93,0.32,4.25
26,1.47,1.87,0.27,1.31
27,2.16,0.5,0.1,0.07
28,0.9,3.09,0.33,1.1
29,3.88,4.14,0.14,2.57
30,3.8,2.63,0.1,1.16
31,1.46,4.16,0.37,1.38
32,1.15,0.28,0.34,0.45
33,4.68,3.18,0.31,0.94
34,3.44,5.0,0.11,1.81
35,2.56,2.95,0.14,1.65
36,3.51,2.02,0.0,1.11
37,3.29,4.51,0.0,0.72
38,1.55,1.3,0.0,1.04
39,1.62,1.14,0.04,1.08
40,1.37,5.0,0.41,1.05
41,0.9,1.12,0.33,1.19
42,3.18,2.31,0.0,1.28
43,1.37,0.6,0.0,0.66
44,5.0,4.46,0.0,3.13
45,4.69,5.0,0.0,3.45
46,1.54,3.66,0.0,1.27
47,1.86,4.08,0.02,2.61
48,0.9,3.48,0.0,1.4
49,1.24,0.93,0.0,1.48
50,0.7,1.77,0.0,1.14
51,5.0,3.89,0.0,4.9
52,1.4,1.13,0.0,1.43
53,1.6,3.62,0.0,2.02
54,2.41,3.23,0.1,1.23
55,1.04,0.31,0.25,1.27
56,1.26,1.86,0.0,2.8
57,3.84,4.97,0.0,4.86
58,0.84,1.27,0.0,1.61
59,3.05,3.68,0.13,1.22
60,0.88,1.52,0.0,0.2
61,0.98,3.34,0.13,1.17
62,1.86,3.59,0.0,0.79
63,2.62,1.69,0.0,0.62
64,1.27,1.38,0.0,1.43
65,2.82,3.8,0.06,1.32
66,0.93,0.62,0.0,1.57
67,4.9,3.32,0.4,3.38
68,2.73,3.57,0.0,1.27
69,4.81,5.0,0.0,4.34
70,3.25,2.03,0.0,2.1
71,3.06,3.13,0.09,0.88
72,4.96,5.0,0.0,5.0
73,4.55,5.0,0.2,1.19
74,0.8,1.12,0.0,0.94
75,0.45,0.02,0.37,0.0
76,1.25,3.0,0.0,1.72
77,3.38,1.56,0.0,0.96
78,2.53,2.85,0.0,1.16
79,2.07,4.43,0.0,0.9
80,1.0,0.55,0.03,1.1
81,2.17,3.4,0.1,1.85
82,0.39,2.11,0.0,0.99
83,1.62,3.72,0.2,1.11
84,0.84,1.66,0.0,0.7
85,1.05,1.42,0.14,1.42
86,0.83,1.01,0.22,1.11
87,1.16,0.73,0.0,1.08
88,0.75,0.94,0.0,0.72
89,0.76,0.99,0.0,0.89
90,4.87,3.96,0.0,1.1
91,5.0,5.0,0.0,5.0
92,0.94,5.0,0.0,0.68
93,0.68,0.82,0.0,0.94
94,0.45,5.0,0.1,4.41
95,0.74,0.6,0.0,1.41
96,1.02,1.66,0.45,0.62
97,1.74,1.85,0.0,0.63
98,2.75,2.49,0.25,0.98
99,1.74,3.34,0.0,1.76
100,3.77,2.9,0.28,0.34
101,4.24,2.94,0.0,2.1
102,4.52,4.01,0.32,0.34
103,4.44,2.19,0.17,1.56
104,2.94,3.29,0.0,1.11
105,1.59,0.23,0.71,1.3
106,0.62,2.64,0.0,0.49
107,3.21,4.73,0.0,1.37
108,5.0,4.98,0.41,4.8
109,3.14,5.0,0.25,3.98
110,1.14,0.87,0.05,1.03
111,1.38,2.11,0.0,1.23
112,1.7,2.24,0.13,1.98
113,2.91,3.9,0.35,1.04
114,0.94,1.24,0.0,1.7
115,4.11,4.31,0.42,3.19
116,5.0,4.63,0.0,4.96
117,1.72,2.53,0.17,1.27
118,2.03,3.84,0.51,0.71
119,1.49,1.44,0.13,0.9
120,1.17,4.93,0.07,0.76
121,0.96,1.01,0.08,1.31
122,1.4,1.6,0.0,1.07
123,2.14,4.34,0.26,0.67
124,0.84,0.97,0.0,1.35
125,4.9,4.77,0.0,3.46
126,2.82,5.0,0.36,1.39
